samples_available	date	env	fecha	month	h	sampling	sample_v	Anos_total	Ostr_total	anos_L	ostr_L	salinity	salinity_q	cond	temp	temp_q	pH	redox	od	chla	doy	doy_acc	doy_acc_mod	season	season_det	sampling_trip	coord
MON_75	both	26/5/13	9_Salineta	26/5/13	may-13	5	7	NA	0	0	0	0	23	6_highly-hypersaline	152	19.1	mild	8.2	235	12.9	85.7	146	512	512	spring	spring	7	41.484360 N -0.160008 W
MON_76	both	26/5/13	z13_Salobral	26/5/13	may-13	40	7	NA	0	0	0	0	3.4	4_marine	36.2	20	warm	9.5	180	14.2	4.4	146	512	512	spring	spring	7	41.500283 N -0.141735 W
MON_77	only_16S	26/5/13	z14_Balsa_Molinos	26/5/13	may-13	NA	7	NA	0	0	0	0	0.1	1_freshwater	0.9	17.4	mild	8.3	195	9.8	3	146	512	512	spring	spring	7	41.494618 N -0.150945 W
MON_78	both	12/6/13	8_Pito	12/6/13	jun-13	0.2	8	3	0	0	0	0	28	6_highly-hypersaline	NA	34.5	hot	7.5	260	7.5	1.8	163	529	529	spring	late-spring	8	41.412818 N -0.153057 W
MON_79	both	12/6/13	z10_Playa	12/6/13	jun-13	25	8	5	0	0	0	0	14.8	5_hypersaline	169.3	27.9	hot	8.1	225	8.8	11.7	163	529	529	spring	late-spring	8	41.419234 N -0.188864 W
MON_8	both	13/11/12	z12_Amarga_baja	13/11/12	nov-12	5	1	5	6	0	1	0	0.9	2_slightly-brackish	4.6	6.3	freezing-cold	8.2	339	12	1.2	318	318	317	autumn	autumn	1	41.404935 N -0.028002 W
MON_80	both	12/6/13	9_Salineta	12/6/13	jun-13	5	8	2	0	0	0	0	35	6_highly-hypersaline	150.3	34	hot	7.9	220	9.5	54.3	163	529	529	spring	late-spring	8	41.484360 N -0.160008 W
MON_81	both	12/6/13	z13_Salobral	12/6/13	jun-13	40	8	5	0	0	0	0	3	4_marine	42.4	30.3	hot	9.1	190	11.5	2.8	163	529	529	spring	late-spring	8	41.500283 N -0.141735 W
MON_83	both	8/7/13	z10_Playa	8/7/13	jul-13	30	9	5	0	0	0	0	16.2	6_highly-hypersaline	168.1	30	hot	8.2	230	7.3	4	189	555	555	summer	summer	9	41.419234 N -0.188864 W
MON_84	both	8/7/13	9_Salineta	8/7/13	jul-13	1	9	3	0	0	0	0	38	6_highly-hypersaline	142	32.5	hot	7.9	230	7.9	5.6	189	555	555	summer	summer	9	41.484360 N -0.160008 W
MON_85	both	8/7/13	z13_Salobral	8/7/13	jul-13	30	9	5	0	2	0	0	3.8	4_marine	47.1	29.6	hot	8.8	122.6	8.1	5.4	189	555	555	summer	summer	9	41.500283 N -0.141735 W
